Field name,Field type,Events,Users,Sessions,Pages,Transactions,Products,Open_Funnel,Closed_Funnel,GTM_Performances,Consents
ad_personalization,Dimension,X,,,,,,,,,
ad_personalization_accepted_percentage,Metric,,,X,,,,,,,
ad_personalization_denied_percentage,Metric,,,X,,,,,,,
ad_storage,Dimension,X,,,,,,,,,
ad_storage_accepted_percentage,Metric,,,X,,,,,,,
ad_storage_denied_percentage,Metric,,,X,,,,,,,
ad_user_data,Dimension,X,,,,,,,,,
ad_user_data_accepted_percentage,Metric,,,X,,,,,,,
ad_user_data_denied_percentage,Metric,,,X,,,,,,,
add_payment_info,Metric,,,X,,,X,,,,
add_shipping_info,Metric,,,X,,,X,,,,
add_to_cart,Metric,,,X,,,X,,,,
add_to_wishlist,Metric,,,X,,,X,,,,
analytics_storage,Dimension,X,,,,,,,,,
analytics_storage_accepted_percentage,Metric,,,X,,,,,,,
analytics_storage_denied_percentage,Metric,,,X,,,,,,,
avg_order_value,Metric,,,X,,,,,,,
avg_purchase_value,Metric,,X,,,,,,,,
avg_refund_value,Metric,,X,X,,,,,,,
begin_checkout,Metric,,,X,,,X,,,,
browser_language,Dimension,X,,,,,,,,,
browser_name,Dimension,X,,,,,,,,,
browser_version,Dimension,X,,,,,,,,,
campaign,Dimension,X,,,,,,,,,
campaign_click_id,Dimension,X,,,,,,,,,
campaign_content,Dimension,X,,,,,,,,,
campaign_id,Dimension,X,,,,,,,,,
campaign_term,Dimension,X,,,,,,,,,
channel_grouping,Dimension,X,,,,,,,,,
city,Dimension,X,,,,,,,,,
client_id,Dimension,X,X,X,X,X,X,X,X,X,X
client_id_next_step,Dimension,,,,,,,X,X,,
consent_expressed,Dimension,,,X,,,,,,,
consent_name,Dimension,,,,,,,,,,X
consent_state,Dimension,,,,,,,,,,X
consent_timestamp,Dimension,,,X,,,,,,,
consent_type,Dimension,X,,,,,,,,,
consent_value_int_accepted,Metric,,,,,,,,,,X
consent_value_int_denied,Metric,,,,,,,,,,X
consent_value_string,Dimension,,,,,,,,,,X
content_length,Metric,X,,,,,,,,X,
country,Dimension,X,,,,,,,,,
creative_name,Dimension,,,,,,X,,,,
creative_slot,Dimension,,,,,,X,,,,
cross_domain_id,Dimension,X,,,,,,,,,
cross_domain_session,Dimension,X,,X,X,X,X,,X,X,X
cs_container_id,Dimension,X,,,,,,,,X,
cs_hostname,Dimension,X,,,,,,,,X,
cs_tag_id,Dimension,X,,,,,,,,,
cs_tag_name,Dimension,X,,,,,,,,,
customer_type,Dimension,,X,,,,,,,,
customers,Metric,,X,,,,,,,,
datalayer,Dimension (JSON object),X,,,,,,,,X,
days_from_first_purchase,Metric,,X,,,,,,,,
days_from_first_to_last_visit,Metric,X,X,,,,,,,,
days_from_first_visit,Metric,X,X,,,,,,,,
days_from_last_purchase,Metric,,X,,,,,,,,
days_from_last_visit,Metric,X,X,,,,,,,,
